Datei,Top-1,Top-3,Tests
58_CWE-284_CVE-2023-50257_(0_40).hpp,1/1,1/1,1
257_NVD-CWE-noinfo_CVE-2024-27915_(0_40).php,1/1,1/1,1
313_NVD-CWE-noinfo_CVE-2024-29028_(0_40).go,1/1,1/1,1
53_NVD-CWE-noinfo_CVE-2023-49508_(0_40).php,1/1,1/1,1
579_NVD-CWE-noinfo_CVE-2024-38360_(0_40).rb,1/1,1/1,1
553_NVD-CWE-noinfo_CVE-2024-36404_(0_40).java,1/1,1/1,1
599_NVD-CWE-noinfo_CVE-2024-39697_(0_40).rs,1/1,1/1,1
299_NVD-CWE-noinfo_CVE-2024-28239_(0_40).ts,0/1,1/1,1
291_NVD-CWE-noinfo_CVE-2024-28195_(0_40).ts,0/1,0/1,1
49_NVD-CWE-noinfo_CVE-2023-48709_(0_40).php,0/1,0/1,1
