Datei,Top-1,Top-3,Tests
333_NVD-CWE-noinfo_CVE-2024-29199_(0_60).py,1/1,1/1,1
241_NVD-CWE-noinfo_CVE-2024-27296_(0_60).ts,1/1,1/1,1
107_NVD-CWE-noinfo_CVE-2024-21507_(0_60).js,1/1,1/1,1
432_NVD-CWE-noinfo_CVE-2024-32489_(0_60).php,1/1,1/1,1
246_NVD-CWE-noinfo_CVE-2024-27304_(0_60).go,1/1,1/1,1
629_NVD-CWE-noinfo_CVE-2024-4068_(0_60).js,1/1,1/1,1
188_NVD-CWE-noinfo_CVE-2024-25117_(0_60).php,1/1,1/1,1
429_NVD-CWE-noinfo_CVE-2024-32481_(0_60).py,0/1,1/1,1
146_CWE-290_CVE-2024-23832_(0_60).rb,0/1,1/1,1
641_CWE-20_CVE-2024-4287_(0_60).jsx,0/1,0/1,1
