Datei,Top-1,Top-3,Tests
333_NVD-CWE-noinfo_CVE-2024-29199_(0_20).py,1/1,1/1,1
196_CWE-287_CVE-2024-25618_(0_20).rb,1/1,1/1,1
201_NVD-CWE-noinfo_CVE-2024-25638_(0_20).java,1/1,1/1,1
227_NVD-CWE-noinfo_CVE-2024-27088_(0_20).js,1/1,1/1,1
560_CWE-79_CVE-2024-37160_(0_20).php,1/1,1/1,1
102_NVD-CWE-noinfo_CVE-2024-2035_(0_20).py,0/1,1/1,1
36_NVD-CWE-noinfo_CVE-2023-44452_(0_20).h,0/1,1/1,1
318_NVD-CWE-noinfo_CVE-2024-29036_(0_20).ts,0/1,1/1,1
4_CWE-697_CVE-2015-10129_(0_20).php,0/1,0/1,1
343_NVD-CWE-noinfo_CVE-2024-29889_(0_20).php,0/1,0/1,1
