embedding_model,avg_similarity,top1_ratio,top3_ratio,Top-1 (Prozent),Top-3 (Prozent)
intfloat/e5-large-v2,0.9071588703404332,0.7666666666666667,0.9666666666666667,76.7%,96.7%
intfloat/multilingual-e5-large,0.9109113097591982,0.8,0.9333333333333333,80.0%,93.3%
BAAI/bge-large-en-v1.5,0.7844591071029329,0.7333333333333333,0.9333333333333333,73.3%,93.3%
WhereIsAI/UAE-Large-V1,0.7684175683811282,0.7333333333333333,0.9333333333333333,73.3%,93.3%
microsoft/graphcodebert-base,0.8942828772105028,0.16666666666666666,0.26666666666666666,16.7%,26.7%
