embedding_model,avg_similarity,top1_ratio,top3_ratio,Top-1 (Prozent),Top-3 (Prozent)
llmrails/ember-v1,0.7304523190706949,0.6086956521739131,0.6521739130434783,60.9%,65.2%
ibm-granite/granite-embedding-125m-english,0.8801805667456892,0.5434782608695652,0.6304347826086957,54.3%,63.0%
intfloat/multilingual-e5-large,0.8858224731318002,0.5,0.6304347826086957,50.0%,63.0%
intfloat/e5-large-v2,0.8832292905846086,0.5652173913043478,0.6086956521739131,56.5%,60.9%
Shuu12121/CodeSearch-ModernBERT-Crow-Plus,0.5660477635004856,0.43478260869565216,0.6086956521739131,43.5%,60.9%
Salesforce/codet5-small,0.6593807348214972,0.13043478260869565,0.13043478260869565,13.0%,13.0%
microsoft/codebert-base,0.9338340542391081,0.10869565217391304,0.10869565217391304,10.9%,10.9%
